"","y1","y2","y3","y4","y5","precio_median","SKU","G18","G1901","G0802","plata2_","plata3","plata4","seller"
"1",2,7,11,7.6,6.92,28990,173,0,0,1,44521.0084033613,158764.705882353,250327.731092437,1
"2",3,21,15,19,14,49990,297,0,0,0,159638.655462185,848109.243697479,712327.731092437,2
"4",6.33333333333333,3,14,12,7,26990,222,0,0,1,125991.596638655,54596.6386554622,284739.495798319,4
"5",1,9,8.6,10.15,7.4375,24900,101,0,0,1,19243.6974789916,187478.991596639,153394.957983193,5
"6",15,15,22.4,22.08,22,14990,303,0,0,0,185834.733893557,189739.495798319,282486.274509804,6
"7",2,12,4,6,3,279990,7,0,0,0,554621.848739496,4991596.63865546,1109243.69747899,7
"9",2,16,8,22,22,165990,109,0,0,0,487394.957983193,3096638.65546218,1584033.61344538,9
"10",3,8,8,9,11.4,29000,36,0,0,0,1e+05,208403.361344538,232605.042016807,10
"11",5,15,27,26.6,28.92,29990,99,0,0,0,91554.6218487395,294831.932773109,601453.781512605,11
"12",5,17,17.8,34,22.96,39900,154,0,0,0,110882.352941176,368920.168067227,384468.067226891,12
"13",5,12,8,7,0.1,24900,3,0,0,0,104621.848739496,251092.43697479,158991.596638655,13
"14",3,2,13,11.4,13.28,62990,643,0,0,0,273067.226890756,54605.0420168067,823117.647058824,14
"15",4,4,5.66666666666667,4.88888888888889,1,15990,24,0,0,0,58789.9159663866,58789.9159663866,83700.2801120448,15
"16",1,31.3333333333333,17,72,131,59990,333,0,1,1,9235.29411764706,975876.75070028,470445.378151261,16
"17",40,16.25,13.05,10.46,4,16900,32,0,0,0,841680.672268908,344894.957983193,273231.092436975,17
"18",17,6,23.2,31,32.04,8990,225,0,0,0,133436.974789916,59613.4453781513,219949.579831933,18
"20",7.33333333333333,6.58333333333333,6,5,8,24990,152,0,0,0,110302.521008403,104006.302521008,80621.8487394958,20
"21",2,10,33,52,71,17990,885,0,0,1,29823.5294117647,159235.294117647,575571.428571429,21
"22",5,9,19,21.8,18.56,99990,133,0,0,0,285672.268907563,403285.714285714,1331773.1092437,22
